Song Name,Artist Name,Mood,Song Link,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
Boom,Zane Hijazi,Happy,https://youtu.be/ztOMeEQnf2E?si=YfaOktONsbB7B9wn,79,0.758,0.712,7,-3.781,1,0.112,0.0185,0,0.0677,0.795,149.998,193387
Love Yourz,J. Cole,Happy,https://youtu.be/zEv2bA3fomg?si=xOPnMkeczpPID0P9,76,0.706,0.824,0,-7.959,1,0.0694,0.355,0.000133,0.111,0.86,94.98,132000
Run to You,Lea Michele,Happy,https://youtu.be/82LZUR9YiGk?si=3Hj3cW7hr3RFgM-m,78,0.842,0.801,8,-4.167,0,0.228,0.157,4.82E-06,0.0642,0.617,95.881,212500
All I Wanna Do,Martin Jensen,Happy,https://youtu.be/zXHZIuJW97o?si=iF_R7nLPVgIzo_EG,72,0.527,0.736,4,-5.341,1,0.0638,0.05,7.89E-05,0.105,0.503,117.657,172675
die without u,LÃ˜LÃ˜,Happy,https://youtu.be/tVnCUaZm0EM?si=M9JJLCzISP80mAXv,61,0.631,0.732,1,-4.706,1,0.203,0.0304,0,0.261,0.549,151.779,231653
human,Christina Perri,Happy,https://youtu.be/2ZFka5_8itM?si=Hsve6d7JJtDN_2J9,96,0.736,0.704,3,-7.409,0,0.0615,0.0203,0,0.0501,0.894,149.995,212000
Say Something,A Great Big World,Happy,https://youtu.be/tV3uXVBydcI?si=ksMWBoRVwbLnMu8r,95,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79E-05,0.366,0.537,126.011,230747
Everything I Need,Skylar Grey,Happy,https://youtu.be/9bCp7j3nC30?si=GTjngWlWfP3WQPrk,93,0.714,0.8,11,-4.808,0,0.0504,0.127,0,0.359,0.589,134.002,211560
You & I,One Direction,Happy,https://youtu.be/ogRfmFN6Qfo?si=rEiD8VgYTS6cse91,89,0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,203064
Flashlight,Jessie J,Happy,https://youtu.be/DzwkcbTQ7ZE?si=i_Gogu09rG7-B229,92,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44E-05,0.0936,0.593,118.091,191014
Surrender,Natalie Taylor,Happy,https://youtu.be/nagMxzLZfLk?si=ADGXdbJVtEp3_ed_,90,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,208867
Diamonds,Rihanna,Happy,https://youtu.be/0-p5EbAsxUM?si=h8W1Dh1fQmpQP1uC,89,0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,203064
